ip,date,method,path,status_code,body_bytes_sent,http_referer,ua,host,exec_time
188.163.44.29,23/May/2020:12:15:34 +0000,GET,/api/v1/docs/?format=openapi,200,2536,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.680
23.22.16.221,23/May/2020:12:15:35 +0000,GET,/api/v1/docs/?format=openapi,200,2536,-,swagger-validator,159.89.237.112,0.585
188.163.44.29,23/May/2020:12:15:36 +0000,POST,/api/v1/payments/liqpay/widget/,200,446,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.104
54.229.105.178,23/May/2020:12:16:25 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,1.005
34.255.91.122,23/May/2020:12:16:35 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,1.662
188.163.44.29,23/May/2020:12:16:42 +0000,GET,/admin/payments/payment/,200,1974,http://159.89.237.112/admin/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,1.148
188.163.44.29,23/May/2020:12:16:44 +0000,GET,/favicon.ico,404,102,http://159.89.237.112/admin/payments/payment/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.181
34.255.91.122,23/May/2020:12:17:29 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,2.808
34.253.252.244,23/May/2020:12:18:32 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,0.893
34.253.252.244,23/May/2020:12:21:34 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,1.097
34.255.91.122,23/May/2020:12:23:06 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,1.037
34.255.91.122,23/May/2020:12:24:35 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,0.913
34.253.252.244,23/May/2020:12:26:42 +0000,POST,/api/v1/payments/liqpay/callback/,500,27,-,-,159.89.237.112,0.871
188.163.44.29,23/May/2020:12:28:48 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.001
188.163.44.29,23/May/2020:12:28:48 +0000,GET,/favicon.ico,404,191,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.001
188.163.44.29,23/May/2020:12:28:48 +0000,GET,/api/v1/docs/,404,191,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
188.163.44.29,23/May/2020:12:28:48 +0000,GET,/favicon.ico,404,191,http://159.89.237.112/api/v1/docs/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) snap Chromium/81.0.4044.138 Chrome/81.0.4044.138 Safari/537.36",159.89.237.112,0.000
